client,industry,project,description,dt_start,channel,product,design,goal,complexity
PAN Visual Content,comunicacao,Animação institucional,Animação Institucional da PAN Visual Content,2016-03-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Companhia das Letras,jornalismo,Animação Companhia das Letras,Design e motion graphics para institucional Companhia das Letras,2016-11-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],4
Sincronia Filmes,comunicacao,Vinhetas Sincronia Filmes,Design e animação de Vinhetas e CGs para a produtora Sincronia Filmes,2016-11-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],3
"DPZ&T ",comunicacao,Piloto para concorrência,Apresentação contendo explicação para concorrência da DPZ&T,2016-05-12T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['informacional'],4
Reset,jornalismo,Apresentação institucional para Reset,Desenvolvimento da nova apresentação institucional para o Reset,2023-07-13T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],2
PNUD,ongs-orgs,Caderno Comunidades,Design e diagramação para publicação sobre Comunidades,2016-05-12T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Reset,jornalismo,Relatório Reset,"Desenvolvimento de relatório para o Reset ",2023-07-13T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",3
Reset,jornalismo,Infográfico para o Reset,Criação de infográfico para o Reset,2023-07-13T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",2
IEPS,jornalismo,Site IEPS,Design e desenvolvimento do novo site IEPS,2022-06-13T00:00:00Z,digital,['site-institucional'],"['editorial', 'design-de-servicos', 'user-interface']","['informacional', 'institucional', 'jornalistico-editorial']",5
IEPS,jornalismo,Site IEPS,Processo de design com foco no mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2022-06-13T00:00:00Z,consultoria,['site-editorial'],['design-de-servicos'],"['informacional', 'institucional', 'jornalistico-editorial']",5
Honda,outros,Honda salão do altomóvel,Material informativo impresso para a Honda no salão do automóvel de São Paulo,2016-12-15T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",3
Honda,outros,Honda Salão do automóvel,Vídeo institucional para a Honda no salão do automóvel de São Paulo,2016-12-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Deloitte,consultorias,Deloitte Flex,Vídeo informativo para explicar o funcionamento do recurso Deloitte Flex,2016-12-26T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
E-Bricks,financeiro,E-Bricks apresentação institucional,Desenvolvimento de apresentação para E-Bricks,2017-12-01T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
BENHU,educacao,BENHU animação,Animação informacional para the Berlin Entrepreneurship Network of Universities and Enterprises,2017-02-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",4
Agroicone,ongs-orgs,Vídeo Agroicone,Vídeo informacional para a Agroicone,2017-02-22T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",4
Sincronia Filmes,comunicacao,Animações para a Sincronia,Pacote de CGs para vídeos produzidos pela Sincronia Filmes,2017-11-04T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['institucional', 'jornalistico-editorial']",3
Companhia das Letras,jornalismo,Ideias na Cia,Design e desenvolvimento de site para a Cia das Letras,2017-04-14T00:00:00Z,digital,['site-editorial'],"['editorial', 'design-de-servicos', 'user-interface']","['informacional', 'institucional', 'jornalistico-editorial']",4
Report Sustentabilidade,comunicacao,Infográfico Caixa Econômica Federal,Infográficos para compor relatório da Caixa Econômica Federal,2017-04-20T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional']",4
Report Sustentabilidade,comunicacao,Infográficos sustentabilidade,Infográficos para compor relatório de sustentabilidade.,2017-04-20T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",3
Itaú Cultural,ongs-orgs,Infográfico Itaú Cultural,"Infográfico para apresentar as transformações da avenida Paulista para livro da instituição. ",2017-05-25T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",5
SEO,comunicacao,Infográfico programa múltiplus,Infográfico apresentando o funcionamento do programa múltiplos de pontos.,2017-05-29T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']",['informacional'],2
B3,financeiro,B3 Investimentos em ETF,Animações informacionais explicando diferentes tipos de investimentos.,2017-05-06T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
ITTC,ongs-orgs,Cartilha ITTC,Desenvolvimento de material impresso com infográficos para o ITTC,2017-12-06T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Sincronia Filmes,comunicacao,Identidade animada Sincronia,Animação de pacote gráfico e desenvolvimento de animações e vinhetas institucionais da Sincronia.,2017-06-13T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],5
Meddco,outros,Vídeo informacional Meddco,Vídeo utilizando infográficos para apresentar o serviço da Meddco.,2017-06-13T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
DPZ&T,comunicacao,Site DPZ&T,Site para campanha DPZ&T,2017-03-07T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'user-interface']",['informacional'],3
DPZ&T,comunicacao,Vídeo DPZ&T,Vídeo para explicar a atuação da instituição.,2017-03-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],4
ESPM,educacao,Curso de graduação em Design,Desenvolvimento de vídeo apresentando o curso de graduação em Design,2017-03-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Agroicone,consultorias,Vídeo Agroicone,Vídeo explicativo sobre o uso de terras na pecurária,2017-10-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",4
Companhia das Letras,jornalismo,Versão incremental do site Autores na Cia,Desenvolvimento de novos recursos para o website,2017-07-13T00:00:00Z,digital,['site-institucional'],"['editorial', 'user-interface']","['informacional', 'institucional']",2
Estúdio Varanda,comunicacao,Letterings animados,Design e animação de letterings e CGs para documentário,2017-01-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'jornalistico-editorial']",3
Rua Filmes,comunicacao,Mapas Greenpeace,Design e animação de mapas para documentário para o Greenpeace,2017-08-21T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",4
B3,financeiro,B3 Educacional,Desenvolvimento de vídeo informacional sobre investimentos,2017-08-22T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
B3,financeiro,B3 & Itaú Investimentos,Desenvolvimento de vídeo explicando como funcionam os investimentos no tesouro direto.,2017-08-31T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Isetor,financeiro,Consultoria em design de informação,Pesquisa e proposições de estratégias e abordagens para a apresentação de informação da empresa,2017-06-09T00:00:00Z,consultoria,['relatorios'],"['design-de-servicos', 'datavis', 'infografia']","['informacional', 'institucional']",5
Isetor,financeiro,"Templates para apresentação ",Criação de templates para apresentação de informação qualitativa e quantitativa,2017-06-09T00:00:00Z,digital,['apresentacao'],"['editorial', 'datavis', 'infografia']","['informacional', 'institucional']",3
Bufalos,comunicacao,Apresentação Institucional,Desenvolvimento de apresentação institucional para a Bufalos,2017-11-09T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
Casion,servicos-e-tecnologia,Vídeo Casion,Design e animação de vídeo informacional explicando a atuação da empresa,2017-09-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']","['informacional', 'institucional']",4
Report Sustentabilidade,jornalismo,"Infográficos para relatório ",Conjunto de infográficos para relatório anual,2017-09-21T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",3
Report Sustentabilidade,jornalismo,"Infográficos para relatório ",Conjunto de infográficos para relatório anual,2017-09-21T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",3
Editora Globo,jornalismo,Infográficos PEGN,Infográficos para a revista Pequenas Empresas Grandes Negócios,2017-09-30T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'jornalistico-editorial']",3
Repórter Brasil,jornalismo,Servidão por dívida,Especial jornalístico para reportagem investigativa da Repórter Brasil,2017-10-23T00:00:00Z,digital,['site-editorial'],"['editorial', 'user-interface', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",5
Casion,servicos-e-tecnologia,Dashboard,Design de dashboard e interface para dados de analytics,2017-10-25T00:00:00Z,digital,['outras-interfaces'],"['user-interface', 'datavis', 'infografia']",['informacional'],4
Agroicone,consultorias,Infográficos,Infográficos para relatório da Agroícone sobre o uso do solo na agropecuária,2017-07-11T00:00:00Z,impressa,['infografico'],"['editorial', 'infografia']","['informacional', 'impacto-positivo']",1
Sincronia Filmes,comunicacao,Pacote de CGs,Pacote de recursos em motion graphics para a identidade visual da Sincronia Filmes,2017-11-14T00:00:00Z,digital,['video'],['motion-graphics'],['institucional'],3
Editora Globo,jornalismo,Infográficos Época Negócios,Desenvolvimento de infográficos para a revista época Negócios,2017-01-12T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'jornalistico-editorial']",2
ISA,ongs-orgs,Cogumelos Sonoma,Infográfico para apresentar todo o processo em torno do cogumelo yanomami,2017-01-12T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",4
Reporter Brasil,jornalismo,Repórter Brasil - Suape,Especial jornalístico para reportagem investigativa realizada pela equipe da Repórter Brasil,2017-05-12T00:00:00Z,digital,['site-editorial'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",5
DPZ&T,comunicacao,Site informacional para DPZ&T,Desenvolvimento de site para explicar resultados de pesquisa realizada pela DPZ&T.,2017-05-12T00:00:00Z,digital,['site-institucional'],"['user-interface', 'infografia']",['informacional'],3
DPZ&T,comunicacao,Infográfico para DPZ&T,Desenvolvimento de infográfico para explicar resultados de pesquisa realizada pela DPZ&T.,2017-05-12T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']",['informacional'],2
E-Bricks,financeiro,Como funciona a E-Bricks,Desenvolvimento de material informacional utilizando infografia para explicar a atuação da empresa,2017-12-12T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
E-Bricks,financeiro,Como funciona a E-Bricks,Elaboração de comunicados digitais para explicar sobre os serviços da empresa,2017-12-12T00:00:00Z,digital,['outras-interfaces'],['infografia'],"['informacional', 'institucional']",1
Itaú Cultural,ongs-orgs,Infográfico Itaú Cultural,Infografia apresentando as transformações da avenida Paulista ao longo das décadas,2017-12-22T00:00:00Z,impressa,['publicacao'],"['editorial', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",4
Deloitte,consultorias,Vídeo informativo,Vídeo informativo para o departamento de recursos humanos da Deloitte,2017-12-26T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Banco Honda,financeiro,Financiamento Honda,"Vídeo storytelling apresentando informações sobre o funcionamento dos serviços do banco ",2017-12-26T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Isetor,financeiro,Site institucional Isetor,Design e desenvolvimento do novo site da Isetor,2017-12-29T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['informacional', 'institucional']",4
MUDA Cultural,comunicacao,Vídeo storytelling para a Muda Cultural,Design e animação de vídeo apresentando a Muda Cultural,2018-01-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Muda Cultural,comunicacao,Material comunicacional para Muda Cultural,Elaboração de materiais para apresentar e explicar os serviços da Muda Cultural,2018-01-16T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",2
Sincronia Filmes,comunicacao,A tecnologia social,Desenvolvimento de recursos gráfico visuais para o documentário A tecnologia social,2018-01-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
227,servicos-e-tecnologia,Footstats,"Consultoria e design de visualizações de informação para o projeto Footstats ",2018-01-19T00:00:00Z,digital,['outras-interfaces'],"['design-de-servicos', 'user-interface', 'datavis', 'infografia']","['informacional', 'institucional']",5
ISA,ongs-orgs,Infografia para vídeos,Design de animação de mapas e infográficos para documentário,2018-01-02T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",5
ISA,ongs-orgs,Infografia para vídeos,Design de animação de mapas e infográficos para documentário,2018-01-03T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",5
Pluvi.on,servicos-e-tecnologia,Website Pluvi.on,Design e desenvolvimento de website para a Pluvi.on <3,2018-02-22T00:00:00Z,digital,['site-institucional'],"['user-interface', 'infografia']","['informacional', 'institucional']",5
Justiça Global,ongs-orgs,Defensorxs de Direitos Humanos,"Vídeo storytelling para a Justiça Global ",2018-01-03T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Banco Honda,financeiro,Consórcio Honda,Vídeo infográfico explicando os processos dos serviços do Banco Honda,2018-03-21T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Art Boom,servicos-e-tecnologia,Apresentação Artboom,Vídeo infográfico apresentando os serviços da Artboom,2018-01-04T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Egis,consultorias,"VLT ",Vídeo infográfico explicando o papel das novas vias do VLT em Fortaleza,2018-04-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
PAN Visual,comunicacao,Talk Inc.,Sistema de identidade visual,2018-05-21T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'motion-graphics']",['institucional'],2
DPZ&T,comunicacao,Dashboard para setor de BI,Design de sistema de visualização de informação em parceria com a Casion para o departamento de BI da DPZ&T,2018-05-21T00:00:00Z,digital,['outras-interfaces'],"['design-de-servicos', 'user-interface', 'datavis', 'infografia']",['informacional'],5
Report Sustentabilidade,comunicacao,Infográficos Caixa,Infográficos para relatório anual do banco Caixa Econômica Federal,2018-06-20T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",3
B3,financeiro,B3 Mercado Futuro,Série de vídeos informacionais para explicar os diferentes tipos de investimento no mercado futuro,2018-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
Gênero e Número,jornalismo,Infografia para a Gênero e nº,Infografico para reportagem realizada pela Gênero e número,2018-07-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'jornalistico-editorial']",3
ISA,ongs-orgs,Cacau Yanomami,Série de infográficos e mapas animados para documentário realizado pelo ISA,2018-07-26T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Oktopus Filmes,comunicacao,Vídeo Hospital Albert Einstein,Design e animação de recursos visuais para vídeo realizado pela Oktopus Filmes para o hospital Albert Einstein,2018-07-30T00:00:00Z,digital,['video'],['motion-graphics'],['institucional'],2
PAN Visual,comunicacao,Atento,Série de vídeos explicando os serviços prestados pela Atento,2018-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Troiano,comunicacao,Livro Troiano Branding,Elaboração de livro apresentando os métodos utilizados pela Troiano Branding,2018-10-16T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['educacional', 'informacional', 'institucional', 'jornalistico-editorial']",5
IDDD,ongs-orgs,Prova sob suspeita,Elaboração de site apresentando o projeto editorial sobre a atuação do IDDD e suas ações,2018-01-11T00:00:00Z,digital,['site-editorial'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",5
IDDD,ongs-orgs,Prova sob suspeita,Design de animação de vídeo para o projeto Prova sob suspeita,2018-01-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",4
E-Bricks,financeiro,Resultados semestrais E-Bricks,Desenvolvimento de relatório apresentando os números da empresa,2018-11-19T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional']",4
ISA,ongs-orgs,Documentário ISA,Desenvolvimento de infográficos e recursos gráficos animados para documentário do ISA,2018-11-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",5
ESPM,educacao,Institucional ESPM,Vídeo em motion graphics apresentando os cursos de extensão da instituição,2018-11-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['institucional'],3
IDDD,ongs-orgs,Cartilha IDDD,Design de cartilha voltada à população carcerária apresentando os caminhos dos processos penais,2018-11-29T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'impacto-positivo']",4
Isetor,financeiro,Isetor,Elaboração de recursos gráficos de infovis e templates para relatórios da Isetor,2018-12-21T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
Engenhoca Criativa,educacao,Vídeo Engenhoca Criativa,Elaboração de recursos gráficos para vídeo apresentando o projeto,2018-12-21T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",2
Believe Earth,ongs-orgs,Infográfico CPFC,Infográfico apresentando números e processos,2018-12-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'jornalistico-editorial']",2
Future Brand,comunicacao,Identidade animada GOL linhas aéreas,Design e animação da nova identidade da GOL linhas áreas em parceria com a Future Brand,2019-01-14T00:00:00Z,digital,['video'],['motion-graphics'],['institucional'],5
B3,financeiro,B3 vídeo institucional,"Vídeo em motion graphics explicando a história, o papel e as funções da B3 no mercado financeiro",2019-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",5
Future Brand,comunicacao,Resultados Hinode,Infográfico animado apresentando os resultados da empresa,2019-01-29T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']","['informacional', 'institucional']",3
Voz Ativa,ongs-orgs,Plataforma Voz Ativa,Design de plataforma para acompanhamento popular de como cada parlamentar votou,2019-01-31T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'user-interface', 'datavis', 'infografia']","['informacional', 'impacto-positivo']",5
IDDD,ongs-orgs,Caminho de direitos,Publicação para o IDDD sobre as questões penais existentes no sistema carcerário do país,2019-01-03T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Editora Globo,jornalismo,Infográfico Época Negócios,Infográficos para reportagem da revista Época Negócios,2019-05-30T00:00:00Z,impressa,['infografico'],"['editorial', 'datavis', 'infografia']","['informacional', 'jornalistico-editorial']",3
Skillen&Co,comunicacao,"TED Talks & Zebra Technologies ","Desenvolvimento de infográficos animados para vídeo realizado para o TED Talks em conjunto com a Zebra Technologies, em parceria com a produtora Skillen & Co",2019-07-06T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",5
B3,financeiro,E-book Investimentos,Elaboração de e-book apresentando diferentes tipos de investimentos,2019-06-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",4
ISA,ongs-orgs,Yarang,Design de recursos gráficos e infográficos para vídeo documental do ISA,2019-06-28T00:00:00Z,digital,['video'],"['ilustracao', 'infografia']","['informacional', 'impacto-positivo']",3
B3,financeiro,E-book Itaú,E-book sobre investimentos em Tesouro Direto,2019-06-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
B3,financeiro,B3 CCP,Vídeo explicativo sobre o CCP,2019-08-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
UOL,servicos-e-tecnologia,Nova identidade UOL,Criação do comportamento animado da nova identidade do UOL,2019-10-07T00:00:00Z,digital,['video'],['motion-graphics'],['institucional'],3
B3,financeiro,B3 Collocation,Vídeo informativo sobre o sistema de informação Collocation da B3,2019-07-31T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
B3,financeiro,E-book Derivativos,Projeto de e-book explicando o que são e como funcionam os Derivativos,2019-08-30T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
WeFab,consultorias,Infográfico Aché,Infográfico apresentando o processo do laboratório de inovação da Aché,2019-08-30T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']",['informacional'],2
Justiça Global,ongs-orgs,Desencarceramento,Animação sobre as questões em torno do sistema carcerário,2019-02-09T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",3
Ilumeo,servicos-e-tecnologia,Ilumeo 500,Visualização de informação interativa para contar os 10 anos da Ilumeo por meio de uma ferramenta interativa exploratória,2019-01-10T00:00:00Z,digital,['outras-interfaces'],"['user-interface', 'datavis', 'infografia']","['informacional', 'institucional']",5
Ilumeo,servicos-e-tecnologia,Ilumeo 500,Processo de design com foco no mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2019-01-10T00:00:00Z,consultoria,['outras-interfaces'],['design-de-servicos'],"['informacional', 'institucional']",3
Ilumeo,servicos-e-tecnologia,Ilumeo 500,Vídeo explicativo sobre a plataforma de visualização que criamos para a Ilumeo,2019-01-10T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']","['informacional', 'institucional']",1
B3,financeiro,E-book B3 Educacional,Elaboração de e-book apresentando as novas propostas e estratégias do departamento,2019-02-10T00:00:00Z,digital,['publicacao'],"['editorial', 'infografia']","['informacional', 'institucional']",2
B3,financeiro,One page B3 Educacional,Website one page para o departamento educacional da B3,2019-02-10T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'user-interface', 'infografia']","['informacional', 'institucional']",2
B3,financeiro,E-book Estratégias Futuras,Desenvolvimento de e-book para explicando o tema Estratégias Futuras,2019-04-10T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
B3,financeiro,E-book Itaú & B3,Desenvolvimento de ebook apresentando as características de diversas modalidades de investimentos do mercado financeiro,2019-04-10T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Endeavor,educacao,Narrativa visual,Animação em motion graphics explicando o ecossistema da Endeavor,2019-07-10T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Endeavor,consultorias,Material para redes sociais,Desenvolvimento de peças gráficas sobre o ecossistema da Endeavor,2019-07-10T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'infografia']","['informacional', 'institucional']",1
B3,financeiro,Trading & Cash Equities,Animação em motion graphics utilizando infografia para explicar mecanismos do mercado financeiro,2019-10-21T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,Minocontratos,Animação em motion graphics utilizando infografia para explicar ativos do mercado financeiro,2019-10-23T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,E-book Minicontratos,Desenvolvimento de e-book para explicar o funcionamento dos Minicontraos,2019-10-24T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",4
Endeavor,financeiro,Sistema tributário,Narrativa visual em motion graphics explicando o sistema tributário,2019-11-14T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
PAN Visual,comunicacao,Comunicação visual para evento,Desenvolvimento de recursos gráfico-visuais com foco em informação para evento do mercado de moda,2019-11-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']",['institucional'],2
WeFab,servicos-e-tecnologia,We Fab,Infográfico para projeto realizado pela We Fab para a Aché,2019-12-20T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",5
B3,financeiro,Newsletter B3,Desenvolvimento de newsletter com conteúdo editorial para a B3,2020-01-23T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['educacional', 'informacional', 'institucional']",1
B3,financeiro,Site B3 Educação,Desenvolvimento de interface para site do dpto Educacional da B3,2020-01-23T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'user-interface', 'infografia']","['educacional', 'informacional', 'institucional']",4
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Repórter Brasil,jornalismo,A nova cara do velho Chico,Design e desenvolvimento de site editorial para a Repórter Brasil,2020-02-21T00:00:00Z,digital,['site-editorial'],"['editorial', 'user-interface', 'infografia']",['jornalistico-editorial'],5
